DRV-501:Crown Victoria:12669397.00
WFH-441:Jeep Cherokee:11400548.00
SHU-014:Camión Ford 350:5133924.50
KWY-473:Mitsubish Eclipse:9855445.00
KJT-942:Jeep Cherokee:14225588.00
MFT-834:Toyota Landcruiser:7239190.50
SAD-841:Sedan:14949855.00
ZYJ-728:Caprice Classic:12156412.00
FMR-675:BMW 5 Series:5364950.00
UUC-123:Crown Victoria:7536307.00
IJT-857:Ford Mustang 65:11909787.00
SBF-999:Camión Ford 350:11777918.00
KJV-198:Chevy Van:8249143.00
QKX-871:Mazda Miata:12566155.00
ONW-025:Mitsubish Eclipse:10469207.00
PTY-566:Toyota Landcruiser:11403461.00
ZLF-925:Mitsubish Eclipse:11691037.00
YPU-675:Ford pickup F100:12163983.00
BOJ-319:Caprice Classic:7727304.50
RFG-388:Volvo Wagon:9519318.00
IRT-624:Camión Ford 350:10702114.00
ZJV-795:Mitsubish Eclipse:5677594.50
CLH-235:Mazda Miata:14485223.00
UEJ-608:Jeep Cherokee:9434774.00
MEA-655:Range Rover:13406538.00
YRI-824:Ford pickup F100:13363962.00
VDO-165:Ford Mustang 65:6762774.00
ROC-735:Sedan:6284297.00
SDN-373:Bus Escolar:14057760.00
AGN-263:Chevy Pickup:10697024.00
MDR-168:Ford pickup F100:11569409.00
KTB-731:Mazda Miata:10855462.00
ICJ-042:Chevy Pickup:12008933.00
NFT-153:Toyota Landcruiser:11848067.00
LJG-028:Range Rover:8887481.00
RLJ-969:Mitsubish Eclipse:5064290.00
BJA-567:Camión Ford 350:5251489.00
YUI-500:Chevy Pickup:10631373.00
JUP-569:Jeep Cherokee:7065132.50
LOI-053:Range Rover:5500059.50
RBC-371:Caprice Classic:9710936.00
WUF-987:BMW 5 Series:9924473.00
OCU-200:Chevy Pickup:11123058.00
OXP-026:Crown Victoria:11431938.00
SSG-487:Caprice Classic:6909971.00
NKR-311:Chevy Van:10443309.00
GIA-336:Crown Victoria:13566331.00
OLA-806:Volvo Wagon:12251658.00
JZH-264:BMW 5 Series:14320799.00
WQO-070:Toyota Landcruiser:13221905.00
LWK-742:Mazda Miata:12032072.00
SSW-835:Chevy Van:11043843.00
OXY-238:Plymouth Cuda:9262719.00
MZH-201:Ford Mustang 65:8472551.00
ZTG-409:Chevy Van:10109038.00
RJN-091:Ford Mustang 65:12577050.00
ASS-351:Toyota Landcruiser:11166333.00
CXJ-107:Mazda Miata:11386744.00
LXM-489:Chevy Pickup:6886119.50
JSO-283:Sedan:12703223.00
AMG-668:Caprice Classic:11723939.00
UAW-875:BMW 5 Series:13320388.00
KHQ-228:Bus Escolar:13257662.00
OKX-476:Chevy Van:7680118.50
ENJ-730:Camión Ford 350:10126038.00
BKZ-798:Ford pickup F100:14635770.00
CPP-344:Mazda Miata:5353687.00
VYK-566:Volvo Wagon:7972918.50
EQQ-561:Chevy Van:12117448.00
NRN-444:Range Rover:12511264.00
CJZ-570:Bus Escolar:10322321.00
ZYE-664:Volvo Wagon:9649704.00
DCJ-720:Chevy Van:10159056.00
TAE-249:Range Rover:13337974.00
GVC-086:Sedan:11921074.00
OWM-139:Ford Mustang 65:14686809.00
AIG-237:Camión Ford 350:14740933.00
UDJ-202:Ford pickup F100:13407764.00
BYJ-950:Camión Ford 350:12488137.00
YGH-212:BMW 5 Series:12406388.00
PZM-974:Range Rover:6189820.00
OMV-676:Chevy Van:14148223.00
QHR-134:Ford pickup F100:7924825.00
QPO-883:Ford  Van:5512599.00
HNK-095:Chevy Pickup:11401781.00
AMD-710:Volvo Wagon:9932115.00
IDY-652:BMW 5 Series:14717233.00
VNA-680:Camión Ford 350:6043580.50
PNF-508:Mazda Miata:5788637.50
IFU-522:Range Rover:7865409.50
LGH-942:Ford pickup F100:6962631.50
UFA-631:Crown Victoria:12543424.00
QZM-685:Camión Ford 350:12004761.00
TMR-079:BMW 5 Series:11065327.00
EWF-613:Crown Victoria:5095594.50
QAN-912:Chevy Van:13534186.00
GIK-080:Bus Escolar:7195907.00
PWQ-382:Mazda Miata:10556985.00
DTR-216:Chevy Van:6818075.00
SSS-895:Plymouth Cuda:10766832.00
XZI-705:Bus Escolar:8912175.00
KBZ-225:Ford  Van:7236860.50
HXS-458:Ford pickup F100:7194560.50
PYD-547:Jeep Cherokee:13379764.00
RDD-765:Toyota Landcruiser:8867399.00
OJI-895:Plymouth Cuda:7937838.00
LZR-089:Ford Mustang 65:8435741.00
VMB-319:Sedan:11935760.00
BVQ-730:Crown Victoria:13332096.00
KDU-360:Camión Ford 350:10551724.00
BGE-915:Mitsubish Eclipse:9263776.00
ZMH-149:Ford Mustang 65:5594298.50
VRF-160:Toyota Landcruiser:5755755.50
EWK-899:Mitsubish Eclipse:14935002.00
FEY-363:Bus Escolar:8098960.50
WPV-258:Ford  Van:12289258.00
OYO-296:BMW 5 Series:8399680.00
MTB-460:Crown Victoria:8833645.00
FIG-865:Chevy Pickup:10009186.00
DIU-725:Volvo Wagon:6289805.50
LRB-433:Volvo Wagon:11109744.00
DRF-865:Crown Victoria:12182311.00
XYT-542:Bus Escolar:5944300.50
OWJ-734:Sedan:10749493.00
EQH-508:Camión Ford 350:8182143.50
ONY-216:Mazda Miata:6285963.50
QWP-116:Caprice Classic:12467238.00
OCM-960:Volvo Wagon:12975544.00
RBH-696:Ford Mustang 65:13095787.00
DTT-248:Mazda Miata:8035576.00
TXE-869:BMW 5 Series:10531643.00
ABD-619:Volvo Wagon:9185791.00
ASM-932:Ford Mustang 65:9584703.00
AET-400:Volvo Wagon:10144203.00
ZRQ-551:Range Rover:12622759.00
GXF-386:Sedan:6235252.50
JPV-782:Crown Victoria:6872375.50
MYJ-508:Mitsubish Eclipse:8040111.50
OYO-113:Jeep Cherokee:12377417.00
FYS-068:Mitsubish Eclipse:14357362.00
LTR-208:Chevy Pickup:7011820.00
UOA-843:Mazda Miata:12919923.00
HJE-469:Crown Victoria:12865922.00
WMZ-439:Chevy Van:9340643.00
RCB-792:Chevy Van:7314696.00
VGO-253:Sedan:8117532.00
SMH-330:Plymouth Cuda:7918106.00
OHS-911:Sedan:11555214.00
GSP-298:Chevy Van:14531828.00
CNB-683:Range Rover:10700661.00
VWY-292:Chevy Pickup:9753594.00
NFL-730:Range Rover:11000009.00
UFU-707:Camión Ford 350:9983918.00
GOV-193:Chevy Van:12041281.00
GRZ-194:Ford  Van:12137481.00
RDE-027:Mazda Miata:10971166.00
YKT-912:Ford  Van:5977822.00
UXO-722:Chevy Pickup:9689577.00
XLS-894:Range Rover:7522994.50
OKP-711:Camión Ford 350:13067051.00
OOC-772:Range Rover:6289080.00
CRH-397:Volvo Wagon:14210191.00
FQQ-108:Bus Escolar:12058070.00
HHL-442:Mazda Miata:10971869.00
UST-598:Mazda Miata:6496224.50
OLK-413:Jeep Cherokee:7950334.50
ZYN-082:Camión Ford 350:11817487.00
NDP-932:BMW 5 Series:5003174.50
XTT-868:BMW 5 Series:13237269.00
IFR-559:Chevy Pickup:13846496.00
XKO-762:Camión Ford 350:13566111.00
JMC-760:Range Rover:14088667.00
VRK-452:Sedan:11571853.00
LIJ-922:Camión Ford 350:10188521.00
RCX-237:Caprice Classic:8804031.00
FLL-853:Jeep Cherokee:9526981.00
ZVV-504:Ford Mustang 65:9181872.00
VUM-000:Caprice Classic:7456294.50
CDZ-483:Toyota Landcruiser:5892409.50
VNY-384:Sedan:12249115.00
GOJ-307:Sedan:12926442.00
PHY-621:Jeep Cherokee:8737320.00
IJU-178:Chevy Pickup:7750981.50
JGX-266:Crown Victoria:5641602.00
FLF-229:Sedan:5992945.00
HAM-528:Chevy Pickup:14283093.00
FSS-950:Crown Victoria:10062785.00
GKE-802:Plymouth Cuda:12878477.00
RZM-995:Plymouth Cuda:12537926.00
QGV-817:Jeep Cherokee:8813016.00
LCH-018:Jeep Cherokee:14504956.00
FCG-230:Mazda Miata:10184410.00
AAY-056:BMW 5 Series:7671440.00
YCB-084:Ford pickup F100:8903835.00
ORH-642:Caprice Classic:5169799.50
JGZ-725:Ford pickup F100:12207544.00
NQH-135:Plymouth Cuda:8229148.00
RJI-586:Jeep Cherokee:12914209.00
KCB-830:Caprice Classic:10999766.00
IPK-501:Bus Escolar:13998526.00
UFS-170:Ford  Van:8826772.00
LRY-237:Chevy Van:11298037.00
VRR-172:Mazda Miata:13883675.00
WIQ-945:Plymouth Cuda:10636947.00
THJ-537:Chevy Van:14732180.00
LXA-866:Ford Mustang 65:10980660.00
IGR-055:Jeep Cherokee:5864193.00
WSI-328:Mazda Miata:10450295.00
EXO-465:Toyota Landcruiser:7501330.00
LGX-085:BMW 5 Series:10829886.00
TGG-273:Bus Escolar:11407599.00
BYY-384:Mitsubish Eclipse:8642267.00
KXM-047:Sedan:6342597.00
AAZ-955:Ford pickup F100:6128550.00
VJO-672:Chevy Van:7529065.00
EFC-074:Camión Ford 350:5030229.00
KME-822:Plymouth Cuda:12255846.00
ISD-822:Toyota Landcruiser:6722014.00
QTS-399:Camión Ford 350:5954349.50
EFD-861:Toyota Landcruiser:14780980.00
QDX-846:Volvo Wagon:6062196.50
JGR-658:Camión Ford 350:12312337.00
OLL-535:Chevy Pickup:11516796.00
TUK-493:Chevy Pickup:10183424.00
NLK-905:Ford  Van:12483212.00
TKB-228:Volvo Wagon:8907485.00
GVI-639:Camión Ford 350:6543415.50
TOO-690:Ford Mustang 65:7098304.00
NQL-611:Sedan:5443340.50
PDD-895:Camión Ford 350:11194012.00
JYT-799:Caprice Classic:14057246.00
MMJ-455:Toyota Landcruiser:13989143.00
EIS-357:Camión Ford 350:6884926.50
WIY-785:Plymouth Cuda:14468179.00
NSB-469:Camión Ford 350:6081387.50
LLO-004:BMW 5 Series:6069562.00
UVM-356:Ford Mustang 65:9369513.00
AJG-991:Ford Mustang 65:6750634.00
XFX-519:Range Rover:11597015.00
LFP-466:Ford  Van:11512186.00
NDT-081:Volvo Wagon:10531916.00
OUT-509:Crown Victoria:14567459.00
DVL-281:Ford pickup F100:13705302.00
ILT-914:Bus Escolar:8827625.00
ODT-323:Sedan:6888393.50
DYI-183:Mitsubish Eclipse:5367575.00
DMG-961:Crown Victoria:7667455.50
PAX-742:Mitsubish Eclipse:8950398.00
KEI-645:Range Rover:10280644.00
LWS-217:Ford pickup F100:7364904.50
GMH-865:BMW 5 Series:12955848.00
PRX-093:Jeep Cherokee:14605244.00
MHB-975:BMW 5 Series:10358553.00
LGM-607:Plymouth Cuda:14388001.00
FGC-889:Jeep Cherokee:5071567.50
PYJ-523:Caprice Classic:14264769.00
QZR-351:Mitsubish Eclipse:11108175.00
LCQ-485:Mazda Miata:11941194.00
UUV-578:Ford pickup F100:14763348.00
TJW-077:Ford pickup F100:12221193.00
UJS-353:Mazda Miata:8162813.00
LYL-241:Ford pickup F100:7512077.50
YCW-698:Caprice Classic:14769857.00
FWS-964:Ford  Van:7400468.00
UZT-320:Caprice Classic:8906687.00
ZWY-402:Mitsubish Eclipse:12612711.00
HQQ-246:Caprice Classic:14074708.00
MPQ-108:Volvo Wagon:10213020.00
VGF-135:Ford pickup F100:13456987.00
LUT-405:Ford pickup F100:9251020.00
EBN-664:Camión Ford 350:8740607.00
AAG-087:Caprice Classic:13935610.00
ACV-366:Camión Ford 350:11211745.00
MKP-490:Toyota Landcruiser:12785983.00
CHT-771:Chevy Van:14127275.00
DEV-997:Mitsubish Eclipse:11937005.00
UNH-519:Bus Escolar:11486052.00
HGD-229:Jeep Cherokee:7963174.50
FBD-910:Ford pickup F100:11731174.00
FMH-119:Mitsubish Eclipse:6045046.50
NKM-621:Range Rover:8487689.00
KMU-640:Bus Escolar:5516495.50
DFN-322:Ford Mustang 65:11056432.00
RXQ-887:Jeep Cherokee:13600063.00
DIC-444:Sedan:5076595.00
XUO-385:Mazda Miata:14262964.00
UMI-069:Jeep Cherokee:10497483.00
VEG-791:Toyota Landcruiser:6121329.00
LEM-964:Chevy Pickup:12955292.00
HIV-197:Chevy Van:7218433.00
GOU-953:Jeep Cherokee:7761941.50
NNB-461:Toyota Landcruiser:10303933.00
JAZ-957:Volvo Wagon:10171012.00
DJA-012:Jeep Cherokee:12818079.00
UOH-295:Ford  Van:11413559.00
BSX-684:Plymouth Cuda:12566482.00
LTG-957:Bus Escolar:12908384.00
DUS-205:Sedan:11256962.00
BXD-947:Chevy Pickup:9072702.00
MHF-379:BMW 5 Series:11361317.00
SWD-269:Chevy Van:14290578.00
TQA-716:Plymouth Cuda:11218984.00
OTF-056:Mazda Miata:10417197.00
XTK-670:Ford Mustang 65:13047802.00
YYS-586:Bus Escolar:8386579.00
HJK-400:Range Rover:11813575.00
UWP-341:Ford  Van:8496488.00
XTA-688:Chevy Van:5885608.50
UVH-646:Volvo Wagon:7652643.00
ARG-069:Ford Mustang 65:10904942.00
UEU-231:BMW 5 Series:11777107.00
WSV-659:Ford pickup F100:9122877.00
SSY-132:Jeep Cherokee:14739860.00
XFJ-519:Crown Victoria:5191914.00
DUF-498:Volvo Wagon:11247746.00
PLM-138:Toyota Landcruiser:9381901.00
PKG-962:Chevy Pickup:8028423.50
LRB-560:Chevy Van:10101424.00
WSE-868:BMW 5 Series:11059538.00
GCJ-697:Range Rover:11668038.00
EYO-818:Range Rover:8141058.50
NJE-146:Jeep Cherokee:14088520.00
KCE-097:BMW 5 Series:7631420.50
WPU-834:Range Rover:9537392.00
JAK-587:Ford  Van:6330139.50
CIO-504:Ford  Van:14221082.00
OCM-487:Caprice Classic:11441162.00
JKO-780:BMW 5 Series:8410830.00
ATT-848:Chevy Pickup:7957359.00
FVC-230:Sedan:11479083.00
CDI-989:Plymouth Cuda:11618400.00
KFZ-223:Plymouth Cuda:9711496.00
BFE-404:Ford pickup F100:5268329.50
IDN-611:Plymouth Cuda:9803832.00
HVE-178:BMW 5 Series:8822891.00
BJL-369:Chevy Van:10882641.00
DTG-222:Chevy Pickup:10234632.00
KAD-516:Ford Mustang 65:12670042.00
LYP-279:Sedan:9438897.00
JXE-087:Crown Victoria:13101631.00
NBE-736:Chevy Van:7932041.00
SLG-900:Chevy Pickup:8654880.00
ZZU-792:Jeep Cherokee:11547067.00
CVK-962:Camión Ford 350:13634542.00
GAX-671:Ford Mustang 65:8415662.00
QPJ-767:Bus Escolar:7541306.00
SAK-620:Jeep Cherokee:5248894.50
XKH-561:Crown Victoria:11762412.00
EPN-978:Ford  Van:8788959.00
LTD-144:BMW 5 Series:12313193.00
LDW-628:Camión Ford 350:5602253.50
IJQ-943:Caprice Classic:13408727.00
XJP-619:Bus Escolar:6235480.00
SHT-164:Camión Ford 350:8737673.00
QGV-818:Ford  Van:14712203.00
FQJ-792:Sedan:9082155.00
OAO-796:Chevy Van:9094755.00
YEX-662:Plymouth Cuda:12694926.00
NPD-640:Caprice Classic:5867404.50
SLK-668:Plymouth Cuda:10348108.00
VCZ-874:Chevy Van:10602625.00
OMJ-271:Ford pickup F100:9928282.00
TPY-270:Ford  Van:13987371.00
NIC-116:Mitsubish Eclipse:9216151.00
SKV-583:Ford  Van:7398317.50
WQP-671:Chevy Pickup:14318261.00
SXS-496:Ford  Van:13534542.00
YYQ-050:Ford pickup F100:5484807.00
LWV-220:Toyota Landcruiser:11795650.00
RHS-436:Toyota Landcruiser:14574614.00
NRN-423:Plymouth Cuda:14091722.00
INH-953:Mazda Miata:7299330.00
FBI-409:Chevy Van:10316553.00
HGF-681:Ford  Van:12881399.00
VIX-178:Mazda Miata:8597025.00
IRZ-902:BMW 5 Series:14491676.00
GGQ-321:Chevy Pickup:6012447.50
LIF-340:Ford pickup F100:12650257.00
IRL-048:Sedan:6119893.50
MCT-427:Chevy Pickup:11753212.00
ZIW-259:Crown Victoria:12813053.00
HAG-700:Jeep Cherokee:5831516.00
SNL-135:Volvo Wagon:5271509.00
QUH-949:Ford Mustang 65:9691543.00
HJR-734:Bus Escolar:12237554.00
MZK-404:Chevy Van:13633390.00
AHY-389:Ford Mustang 65:6650426.00
SLJ-238:Caprice Classic:11522485.00
FIL-571:Plymouth Cuda:6683378.00
EOT-106:Toyota Landcruiser:14233744.00
XWK-775:Chevy Pickup:6794879.50
AOT-443:Range Rover:5831967.50
SND-573:Sedan:12527751.00
WMB-919:Mazda Miata:14911459.00
VKT-699:Mazda Miata:6674578.50
MXL-825:Mazda Miata:9805928.00
BQN-792:Volvo Wagon:11437250.00
TST-877:Chevy Pickup:13761026.00
DPE-153:Mitsubish Eclipse:6653304.00
GPW-513:BMW 5 Series:10536784.00
ZBY-935:Toyota Landcruiser:12170038.00
ILY-018:Ford pickup F100:10609401.00
LTM-906:Jeep Cherokee:14493122.00
GVX-314:Camión Ford 350:10612635.00
NNA-817:Ford  Van:14191469.00
FWL-370:Camión Ford 350:12292611.00
TFC-880:Toyota Landcruiser:6943577.50
WCL-050:Mazda Miata:6555316.00
NEX-698:Camión Ford 350:5770319.50
RNO-352:Plymouth Cuda:10169236.00
MPD-363:Chevy Pickup:9062748.00
KWO-987:Ford  Van:14946189.00
XWB-861:Jeep Cherokee:14933150.00
ROT-182:Ford pickup F100:9610006.00
WPQ-580:Ford pickup F100:5557357.50
XPG-732:BMW 5 Series:6995284.00
DGA-840:Toyota Landcruiser:6680052.50
OXG-417:Mazda Miata:12166997.00
HJP-136:Ford pickup F100:9823255.00
GSC-592:Toyota Landcruiser:12322890.00
OTW-970:Jeep Cherokee:5201390.50
YHT-194:Plymouth Cuda:6732394.00
VTL-239:Bus Escolar:10402664.00
RQE-698:Ford Mustang 65:11958996.00
ROL-464:Range Rover:13114490.00
SOS-708:Crown Victoria:14771593.00
QLD-036:Mazda Miata:11405652.00
HUR-263:Jeep Cherokee:11993286.00
YDU-556:Ford pickup F100:6263251.50
EVA-279:Jeep Cherokee:6447752.50
KHJ-799:Plymouth Cuda:13369021.00
UMM-481:Volvo Wagon:13454928.00
HQI-824:Ford Mustang 65:6894331.00
HFS-018:Range Rover:8394691.00
DSK-062:Ford Mustang 65:8163927.00
TUZ-598:Plymouth Cuda:8778335.00
